Data,Taxa de câmbio - R$ / US$ - comercial - venda - fim período - R$ - Banco Central do Brasil- Boletim- Seção Balanço de Pagamentos (Bacen / Boletim / BP) - BM12_ERVF12,IPCA - geral - índice (dez. 1993 = 100) - - - Instituto Brasileiro de Geografia e Estatística- Sistema Nacional de Índices de Preços ao Consumidor (IBGE/SNIPC) - PRECOS12_IPCA12,
1953.01,6.80727272727273E-15,,
1953.02,1.52727272727273E-14,,
1953.03,1.52727272727273E-14,,
1953.04,1.45454545454545E-14,,
1953.05,1.6E-14,,
1953.06,1.61818181818182E-14,,
1953.07,1.48727272727273E-14,,
1953.08,1.4E-14,,
1953.09,1.38545454545455E-14,,
1953.10,1.38545454545455E-14,,
1953.11,1.92727272727273E-14,,
1953.12,2.05454545454545E-14,,
1954.01,1.98181818181818E-14,,
1954.02,2.18181818181818E-14,,
1954.03,2.12E-14,,
1954.04,1.89090909090909E-14,,
1954.05,2.05454545454545E-14,,
1954.06,2.09090909090909E-14,,
1954.07,2.18181818181818E-14,,
1954.08,2.22909090909091E-14,,
1954.09,2.30181818181818E-14,,
1954.10,2.38181818181818E-14,,
1954.11,2.58181818181818E-14,,
1954.12,2.67272727272727E-14,,
1955.01,2.6E-14,,
1955.02,2.63636363636364E-14,,
1955.03,2.72727272727273E-14,,
1955.04,2.74545454545455E-14,,
1955.05,2.74545454545455E-14,,
1955.06,2.70909090909091E-14,,
1955.07,2.6E-14,,
1955.08,2.56363636363636E-14,,
1955.09,2.43636363636364E-14,,
1955.10,2.36363636363636E-14,,
1955.11,2.38181818181818E-14,,
1955.12,2.41818181818182E-14,,
1956.01,2.50909090909091E-14,,
1956.02,2.49090909090909E-14,,
1956.03,2.54545454545455E-14,,
1956.04,2.61818181818182E-14,,
1956.05,2.83636363636364E-14,,
1956.06,2.83636363636364E-14,,
1956.07,2.61818181818182E-14,,
1956.08,2.61818181818182E-14,,
1956.09,2.43636363636364E-14,,
1956.10,2.43636363636364E-14,,
1956.11,2.36363636363636E-14,,
1956.12,2.38181818181818E-14,,
1957.01,2.38181818181818E-14,,
